open API,부서,파일형식,조회수,활용신청,활용률,수정일
국가기술자격 종목별 시험정보,정보화사업1부,XML,2441,496,20.32%,2018-12-03
산업인력 국가기술자격 통계 정보,정보화사업1부,XML,2441,496,20.32%,2018-12-03
국가자격 종목별 자격정보,정보화사업1부,XML,2685,448,16.69%,2018-12-03
국가전문자격 시험 시행일정 정보,정보화사업1부,XML,2011,310,15.42%,2018-12-03
국가자격 종목 목록 정보,정보화사업1부,XML,4149,638,15.38%,2020-10-15
국가기술자격 지역별 자격취득 정보,정보화사업1부,XML,2141,172,8.03%,2019-11-26
국가기술자격 취득 관련 현황,정보화사업1부,XML,2256,121,5.36%,2019-09-27
국가기술자격 종목 정보,정보화사업1부,XML,1804,80,4.43%,2019-11-28
과정평가형자격 정보 조회,정보화사업1부,XML/ JSON,954,38,3.98%,2018-09-17
국가자격취득자 현황 조회 서비스,정보화사업1부,XML/ JSON,1240,41,3.31%,2020-12-09
국가자격 시험일정 조회 서비스,정보화사업1부,XML/ JSON,1351,44,3.26%,2020-12-09
국가자격 통계연보 정보,정보화사업1부,XML,1109,35,3.16%,2019-09-27
국가자격 취득자 관련 통계 정보,정보화사업1부,XML,1254,33,2.63%,2019-09-27
국가자격 등급별 현황 정보,정보화사업1부,XML,1091,26,2.38%,2019-09-06
국가자격 접수 등 총괄 현황 데이터,정보화사업1부,XML,966,22,2.28%,2020-01-31
국가기술자격 대학별 학과 데이터,정보화사업1부,XML,1164,26,2.23%,2019-09-26
국가자격 관심자격 정보,정보화사업1부,XML,870,18,2.07%,2020-09-29
국가자격시험 시험장소 정보,정보화사업1부,XML,1081,22,2.04%,2020-09-29
국가기술자격 학과별 직무정보,정보화사업1부,XML,1089,20,1.84%,2019-07-24
국가자격 공개문제 조회 서비스,정보화사업1부,XML/ JSON,949,16,1.69%,2020-12-22
국가자격 응시자격 관련 현황 데이터,정보화사업1부,XML,1248,21,1.68%,2019-09-27
국가자격 등급별 응시자격 항목 정보,정보화사업1부,XML,964,16,1.66%,2019-09-06
Q-net 컨텐츠 관련 정보,정보화사업1부,XML,818,13,1.59%,2020-09-29
국가자격시험 채점 표준 편차 정보,정보화사업1부,XML,776,12,1.55%,2020-09-29
국가자격 종목 코드 정보,정보화사업1부,XML,1115,17,1.52%,2020-09-29
국가기술자격증 배송주소구간 정보,정보화사업1부,XML,1038,15,1.45%,2019-11-11
자격정보 자격증 교부수수로 정보,정보화사업1부,XML,909,12,1.32%,2020-09-29
자격정보 인정 기관 정보,정보화사업1부,XML,868,11,1.27%,2020-09-29
국가자격 계열 관련 정보,정보화사업1부,XML,851,10,1.18%,2020-09-29
국가자격 경력정보 제공기관 현황,정보화사업1부,XML,888,10,1.13%,2019-07-24
국가자격 확인서 정보,정보화사업1부,XML,1029,10,0.97%,2020-09-29
자격정보 교과과정 정보,정보화사업1부,XML,764,7,0.92%,20200-92-59
자격정보 선택분야 정보,정보화사업1부,XML,911,8,0.88%,2020-09-29
국가자격 시행제도 구분 정보,정보화사업1부,XML,733,4,0.55%,2020-09-29
국가자격 시행제도 구분 정보,정보화사업1부,XML,736,4,0.54%,2020-09-29
기관/기업 과정 참여 정보 조회 서비스,정보화사업1부,XML/ JSON,691,3,0.43%,2020-12-09
